id_karyawan,nama,departemen,jam_kerja_sebulan,output_task,gaji_pokok
2045,Karyawan_2045,Designer,189,21,6000000
2046,Karyawan_2046,Developer,173,54,8000000
2047,Karyawan_2047,Marketing,153,23,8500000
2048,Karyawan_2048,Admin,152,53,8000000
2049,Karyawan_2049,Developer,182,40,6000000
2050,Karyawan_2050,Security,182,54,8000000
2051,Karyawan_2051,Admin,172,24,10000000
2052,Karyawan_2052,Developer,182,34,7000000
2053,Karyawan_2053,Security,161,36,8000000
2054,Karyawan_2054,Developer,164,59,6000000
2055,Karyawan_2055,Designer,154,48,8000000
2056,Karyawan_2056,Marketing,191,46,8000000
2057,Karyawan_2057,Designer,189,47,8500000
2058,Karyawan_2058,Admin,177,46,8000000
2059,Karyawan_2059,Developer,151,56,10000000
2060,Karyawan_2060,Designer,190,41,10000000
2061,Karyawan_2061,Marketing,207,22,8500000
2062,Karyawan_2062,Admin,187,31,8000000
2063,Karyawan_2063,Marketing,181,20,8000000
2064,Karyawan_2064,Designer,191,34,7000000
2065,Karyawan_2065,Security,182,52,6000000
2066,Karyawan_2066,Developer,159,31,8500000
2067,Karyawan_2067,Security,194,26,6000000
2068,Karyawan_2068,Security,207,56,8500000
2069,Karyawan_2069,Designer,164,34,8500000
2070,Karyawan_2070,Marketing,194,32,8000000
2071,Karyawan_2071,Designer,199,50,8000000
2072,Karyawan_2072,Security,166,28,8000000
2073,Karyawan_2073,Admin,188,33,10000000
2074,Karyawan_2074,Admin,179,23,6000000
2075,Karyawan_2075,Marketing,178,59,7000000
2076,Karyawan_2076,Marketing,170,58,8500000
2077,Karyawan_2077,Admin,151,41,10000000
2078,Karyawan_2078,Marketing,155,22,6000000
2079,Karyawan_2079,Marketing,162,33,8000000
2080,Karyawan_2080,Admin,186,24,7000000
2081,Karyawan_2081,Marketing,186,30,6000000
2082,Karyawan_2082,Marketing,152,51,10000000
2083,Karyawan_2083,Security,159,28,10000000
2084,Karyawan_2084,Security,194,30,7000000
2085,Karyawan_2085,Developer,179,29,6000000
2086,Karyawan_2086,Marketing,203,54,10000000
2087,Karyawan_2087,Admin,179,41,8000000
2088,Karyawan_2088,Developer,188,40,10000000
2089,Karyawan_2089,Admin,153,20,8500000
2090,Karyawan_2090,Security,183,57,8000000
2091,Karyawan_2091,Designer,180,41,8500000
2092,Karyawan_2092,Developer,175,29,10000000
2093,Karyawan_2093,Designer,154,40,8000000
2094,Karyawan_2094,Admin,201,30,8000000
2095,Karyawan_2095,Marketing,173,42,10000000
2096,Karyawan_2096,Designer,193,59,10000000
2097,Karyawan_2097,Designer,186,55,8500000
2098,Karyawan_2098,Developer,173,26,6000000
2099,Karyawan_2099,Security,173,36,8000000
2100,Karyawan_2100,Admin,200,49,7000000
2101,Karyawan_2101,Admin,209,45,8000000
2102,Karyawan_2102,Admin,171,47,8000000
2103,Karyawan_2103,Developer,203,37,8000000
2104,Karyawan_2104,Designer,198,47,8500000
2105,Karyawan_2105,Developer,163,59,8000000
2106,Karyawan_2106,Designer,188,25,7000000
2107,Karyawan_2107,Marketing,205,21,8500000
2108,Karyawan_2108,Marketing,160,35,8000000
2109,Karyawan_2109,Marketing,185,20,8500000
2110,Karyawan_2110,Developer,174,53,10000000
2111,Karyawan_2111,Admin,183,42,10000000
2112,Karyawan_2112,Designer,170,34,7000000
2113,Karyawan_2113,Security,179,56,8500000
2114,Karyawan_2114,Admin,203,50,10000000
2115,Karyawan_2115,Designer,183,52,10000000
2116,Karyawan_2116,Security,186,32,8500000
2117,Karyawan_2117,Admin,183,35,6000000
2118,Karyawan_2118,Security,206,35,7000000
2119,Karyawan_2119,Admin,182,52,8500000
2120,Karyawan_2120,Admin,183,43,6000000
2121,Karyawan_2121,Developer,163,55,8500000
2122,Karyawan_2122,Marketing,168,51,7000000
2123,Karyawan_2123,Designer,196,22,8000000
2124,Karyawan_2124,Admin,166,24,7000000
2125,Karyawan_2125,Designer,195,52,10000000
2126,Karyawan_2126,Developer,150,24,8500000
2127,Karyawan_2127,Developer,166,52,8000000
2128,Karyawan_2128,Developer,184,31,7000000
2129,Karyawan_2129,Developer,157,42,8500000
2130,Karyawan_2130,Marketing,209,59,10000000
2131,Karyawan_2131,Marketing,159,38,8000000
2132,Karyawan_2132,Security,163,23,8500000
2133,Karyawan_2133,Marketing,198,47,7000000
2134,Karyawan_2134,Marketing,184,35,8500000
2135,Karyawan_2135,Designer,169,24,10000000
2136,Karyawan_2136,Designer,172,55,6000000
2137,Karyawan_2137,Security,208,48,6000000
2138,Karyawan_2138,Admin,173,31,8000000
2139,Karyawan_2139,Developer,164,20,10000000
2140,Karyawan_2140,Designer,159,21,6000000
2141,Karyawan_2141,Developer,162,57,8000000
2142,Karyawan_2142,Developer,177,57,8000000
2143,Karyawan_2143,Security,168,30,10000000
2144,Karyawan_2144,Marketing,159,30,6000000
2145,Karyawan_2145,Security,193,45,8500000
2146,Karyawan_2146,Developer,197,48,7000000
2147,Karyawan_2147,Marketing,160,53,7000000
2148,Karyawan_2148,Designer,183,28,10000000
2149,Karyawan_2149,Developer,169,47,6000000
2150,Karyawan_2150,Security,175,49,10000000
2151,Karyawan_2151,Marketing,206,55,8000000
2152,Karyawan_2152,Marketing,181,32,8000000
2153,Karyawan_2153,Marketing,195,27,6000000
2154,Karyawan_2154,Marketing,170,57,10000000
2155,Karyawan_2155,Developer,203,21,8000000
2156,Karyawan_2156,Designer,163,29,8000000
2157,Karyawan_2157,Admin,175,32,8500000
2158,Karyawan_2158,Developer,208,33,6000000
2159,Karyawan_2159,Security,154,36,10000000
2160,Karyawan_2160,Security,160,48,8500000
2161,Karyawan_2161,Designer,158,46,6000000
2162,Karyawan_2162,Security,152,26,7000000
2163,Karyawan_2163,Designer,203,48,8500000
2164,Karyawan_2164,Developer,196,22,8500000
2165,Karyawan_2165,Designer,201,31,8000000
2166,Karyawan_2166,Designer,204,35,10000000
2167,Karyawan_2167,Developer,161,46,8500000
2168,Karyawan_2168,Marketing,175,21,8500000
2169,Karyawan_2169,Developer,193,33,7000000
2170,Karyawan_2170,Designer,197,50,6000000
2171,Karyawan_2171,Marketing,204,28,7000000
2172,Karyawan_2172,Security,157,56,8500000
2173,Karyawan_2173,Admin,166,56,10000000
2174,Karyawan_2174,Marketing,189,53,8500000
2175,Karyawan_2175,Designer,194,52,7000000
2176,Karyawan_2176,Security,169,28,6000000
2177,Karyawan_2177,Security,204,31,10000000
2178,Karyawan_2178,Admin,160,48,6000000
2179,Karyawan_2179,Security,175,58,8000000
2180,Karyawan_2180,Marketing,207,21,8000000
2181,Karyawan_2181,Designer,186,41,10000000
2182,Karyawan_2182,Admin,188,54,10000000
2183,Karyawan_2183,Admin,172,44,8500000
2184,Karyawan_2184,Developer,199,33,10000000
2185,Karyawan_2185,Designer,193,54,7000000
2186,Karyawan_2186,Designer,166,48,10000000
2187,Karyawan_2187,Designer,198,37,6000000
2188,Karyawan_2188,Developer,178,58,8500000
2189,Karyawan_2189,Marketing,201,54,8500000
2190,Karyawan_2190,Admin,165,25,8000000
2191,Karyawan_2191,Marketing,166,30,8000000
2192,Karyawan_2192,Designer,195,50,6000000
2193,Karyawan_2193,Admin,174,20,7000000
2194,Karyawan_2194,Security,180,28,7000000
2195,Karyawan_2195,Security,190,44,7000000
2196,Karyawan_2196,Security,171,22,8000000
2197,Karyawan_2197,Developer,180,39,7000000
2198,Karyawan_2198,Security,152,35,7000000
2199,Karyawan_2199,Developer,160,29,10000000
2200,Karyawan_2200,Designer,198,32,7000000
2201,Karyawan_2201,Marketing,187,42,10000000
2202,Karyawan_2202,Admin,209,35,7000000
2203,Karyawan_2203,Developer,205,43,10000000
2204,Karyawan_2204,Admin,177,43,7000000
2205,Karyawan_2205,Marketing,172,21,8500000
2206,Karyawan_2206,Security,204,48,8500000
2207,Karyawan_2207,Marketing,164,45,8000000
2208,Karyawan_2208,Security,189,26,6000000
2209,Karyawan_2209,Developer,180,42,8000000
2210,Karyawan_2210,Admin,199,29,10000000
2211,Karyawan_2211,Admin,204,29,6000000
2212,Karyawan_2212,Security,177,24,8500000
2213,Karyawan_2213,Developer,176,49,8000000
2214,Karyawan_2214,Developer,150,49,8000000
2215,Karyawan_2215,Security,187,39,7000000
2216,Karyawan_2216,Security,155,24,8000000
2217,Karyawan_2217,Developer,162,27,8500000
2218,Karyawan_2218,Security,167,46,8500000
2219,Karyawan_2219,Security,185,49,7000000
2220,Karyawan_2220,Developer,196,39,8000000
2221,Karyawan_2221,Marketing,177,52,10000000
2222,Karyawan_2222,Designer,197,48,8500000
2223,Karyawan_2223,Security,150,46,8500000
2224,Karyawan_2224,Designer,189,54,8000000
2225,Karyawan_2225,Developer,166,30,7000000
2226,Karyawan_2226,Admin,175,32,8000000
2227,Karyawan_2227,Marketing,197,22,7000000
2228,Karyawan_2228,Security,186,44,10000000
2229,Karyawan_2229,Designer,203,45,8000000
2230,Karyawan_2230,Developer,153,54,7000000
2231,Karyawan_2231,Admin,175,44,7000000
2232,Karyawan_2232,Designer,178,22,10000000
2233,Karyawan_2233,Designer,153,32,8500000
2234,Karyawan_2234,Admin,186,26,10000000
2235,Karyawan_2235,Developer,195,49,8000000
2236,Karyawan_2236,Security,196,29,8000000
2237,Karyawan_2237,Admin,176,22,8000000
2238,Karyawan_2238,Security,202,50,8500000
2239,Karyawan_2239,Developer,153,23,6000000
2240,Karyawan_2240,Designer,190,51,10000000
2241,Karyawan_2241,Admin,175,36,8500000
2242,Karyawan_2242,Designer,169,53,6000000
2243,Karyawan_2243,Developer,195,28,8000000
2244,Karyawan_2244,Security,150,57,8000000
2245,Karyawan_2245,Admin,200,27,10000000
2246,Karyawan_2246,Developer,196,29,8500000
2247,Karyawan_2247,Designer,186,22,6000000
2248,Karyawan_2248,Admin,201,54,10000000
2249,Karyawan_2249,Marketing,164,36,10000000
2250,Karyawan_2250,Admin,168,48,6000000
2251,Karyawan_2251,Security,209,34,8500000
2252,Karyawan_2252,Security,200,30,8500000
2253,Karyawan_2253,Admin,184,50,7000000
2254,Karyawan_2254,Security,155,36,6000000
2255,Karyawan_2255,Designer,195,38,6000000
2256,Karyawan_2256,Marketing,184,43,10000000
2257,Karyawan_2257,Developer,197,52,8500000
2258,Karyawan_2258,Developer,153,48,6000000
2259,Karyawan_2259,Admin,168,43,7000000
2260,Karyawan_2260,Admin,180,21,6000000
2261,Karyawan_2261,Security,161,58,8500000
2262,Karyawan_2262,Security,175,37,8000000
2263,Karyawan_2263,Developer,189,49,8500000
2264,Karyawan_2264,Security,166,39,6000000
2265,Karyawan_2265,Developer,209,49,6000000
2266,Karyawan_2266,Designer,162,43,8500000
2267,Karyawan_2267,Marketing,174,49,7000000
2268,Karyawan_2268,Designer,171,32,10000000
2269,Karyawan_2269,Marketing,208,30,8000000
2270,Karyawan_2270,Marketing,168,50,10000000
2271,Karyawan_2271,Security,192,35,8000000
2272,Karyawan_2272,Designer,153,36,6000000
2273,Karyawan_2273,Admin,174,23,6000000
2274,Karyawan_2274,Developer,192,44,7000000
2275,Karyawan_2275,Admin,192,48,10000000
2276,Karyawan_2276,Security,170,29,6000000
2277,Karyawan_2277,Designer,198,41,8500000
2278,Karyawan_2278,Admin,164,53,8500000
2279,Karyawan_2279,Security,194,35,10000000
2280,Karyawan_2280,Admin,156,32,8500000
2281,Karyawan_2281,Developer,168,37,8000000
2282,Karyawan_2282,Developer,169,54,6000000
2283,Karyawan_2283,Designer,158,35,8000000
2284,Karyawan_2284,Security,173,58,6000000
2285,Karyawan_2285,Marketing,153,31,6000000
2286,Karyawan_2286,Developer,154,26,10000000
2287,Karyawan_2287,Admin,179,53,7000000
2288,Karyawan_2288,Designer,174,24,6000000
2289,Karyawan_2289,Security,192,46,8500000
2290,Karyawan_2290,Admin,151,45,8000000
2291,Karyawan_2291,Security,157,27,8000000
2292,Karyawan_2292,Designer,166,33,8000000
2293,Karyawan_2293,Designer,159,20,6000000
2294,Karyawan_2294,Developer,205,22,7000000
2295,Karyawan_2295,Developer,188,24,7000000
2296,Karyawan_2296,Marketing,150,38,7000000
2297,Karyawan_2297,Security,175,20,7000000
2298,Karyawan_2298,Designer,157,51,8500000
2299,Karyawan_2299,Security,207,45,6000000
2300,Karyawan_2300,Security,209,50,6000000
2301,Karyawan_2301,Marketing,179,27,7000000
2302,Karyawan_2302,Designer,175,41,10000000
2303,Karyawan_2303,Developer,202,46,6000000
2304,Karyawan_2304,Security,203,21,10000000
2305,Karyawan_2305,Marketing,158,31,7000000
2306,Karyawan_2306,Marketing,168,58,8000000
2307,Karyawan_2307,Marketing,208,46,6000000
2308,Karyawan_2308,Security,193,34,7000000
2309,Karyawan_2309,Admin,201,46,6000000
2310,Karyawan_2310,Marketing,158,55,8000000
2311,Karyawan_2311,Security,206,45,8000000
2312,Karyawan_2312,Admin,158,36,7000000
2313,Karyawan_2313,Security,198,59,6000000
2314,Karyawan_2314,Security,179,53,8500000
2315,Karyawan_2315,Marketing,201,20,10000000
2316,Karyawan_2316,Security,177,30,7000000
2317,Karyawan_2317,Security,185,41,7000000
2318,Karyawan_2318,Designer,155,36,10000000
2319,Karyawan_2319,Designer,157,57,8000000
2320,Karyawan_2320,Marketing,209,38,10000000
2321,Karyawan_2321,Marketing,182,21,10000000
2322,Karyawan_2322,Admin,173,59,10000000
2323,Karyawan_2323,Designer,151,34,10000000
2324,Karyawan_2324,Security,201,54,7000000
2325,Karyawan_2325,Security,152,42,8000000
2326,Karyawan_2326,Designer,187,40,7000000
2327,Karyawan_2327,Security,195,53,8000000
2328,Karyawan_2328,Security,158,31,10000000
2329,Karyawan_2329,Developer,194,31,6000000
2330,Karyawan_2330,Admin,193,24,10000000
2331,Karyawan_2331,Marketing,184,20,7000000
2332,Karyawan_2332,Security,194,32,10000000
2333,Karyawan_2333,Developer,158,41,6000000
2334,Karyawan_2334,Developer,169,32,8500000
2335,Karyawan_2335,Admin,167,38,10000000
2336,Karyawan_2336,Security,183,37,7000000
2337,Karyawan_2337,Designer,161,24,6000000
2338,Karyawan_2338,Designer,168,50,6000000
2339,Karyawan_2339,Developer,183,24,8500000
2340,Karyawan_2340,Designer,186,43,6000000
2341,Karyawan_2341,Marketing,208,41,8500000
2342,Karyawan_2342,Marketing,166,56,6000000
2343,Karyawan_2343,Designer,203,41,8000000
2344,Karyawan_2344,Security,157,37,6000000
2345,Karyawan_2345,Designer,157,22,7000000
2346,Karyawan_2346,Developer,206,56,10000000
2347,Karyawan_2347,Admin,209,36,6000000
2348,Karyawan_2348,Admin,205,21,8500000
2349,Karyawan_2349,Developer,156,33,8000000
2350,Karyawan_2350,Security,150,27,10000000
2351,Karyawan_2351,Designer,165,21,8500000
2352,Karyawan_2352,Marketing,174,58,10000000
2353,Karyawan_2353,Marketing,190,30,8500000
2354,Karyawan_2354,Marketing,183,53,6000000
2355,Karyawan_2355,Developer,163,27,7000000
2356,Karyawan_2356,Marketing,178,29,7000000
2357,Karyawan_2357,Security,177,49,8500000
2358,Karyawan_2358,Developer,191,43,7000000
2359,Karyawan_2359,Developer,192,58,8500000
2360,Karyawan_2360,Security,199,23,10000000
2361,Karyawan_2361,Designer,169,35,7000000
2362,Karyawan_2362,Marketing,161,38,6000000
2363,Karyawan_2363,Designer,161,34,10000000
2364,Karyawan_2364,Marketing,163,50,8000000
2365,Karyawan_2365,Security,185,54,6000000
2366,Karyawan_2366,Security,155,50,10000000
2367,Karyawan_2367,Marketing,207,29,8000000
2368,Karyawan_2368,Admin,192,56,10000000
2369,Karyawan_2369,Developer,179,49,10000000
2370,Karyawan_2370,Admin,208,39,8500000
2371,Karyawan_2371,Security,200,30,7000000
2372,Karyawan_2372,Admin,152,39,6000000
2373,Karyawan_2373,Developer,177,54,6000000
2374,Karyawan_2374,Designer,209,33,8000000
2375,Karyawan_2375,Admin,203,46,8000000
2376,Karyawan_2376,Admin,169,38,10000000
2377,Karyawan_2377,Developer,204,33,8000000
2378,Karyawan_2378,Designer,205,57,8500000
2379,Karyawan_2379,Marketing,158,58,8000000
2380,Karyawan_2380,Developer,189,39,8500000
2381,Karyawan_2381,Developer,205,35,6000000
2382,Karyawan_2382,Security,178,29,10000000
2383,Karyawan_2383,Designer,202,30,8000000
2384,Karyawan_2384,Marketing,162,35,8500000
2385,Karyawan_2385,Security,182,21,10000000
2386,Karyawan_2386,Developer,153,36,10000000
2387,Karyawan_2387,Designer,151,43,10000000
2388,Karyawan_2388,Admin,177,40,6000000
2389,Karyawan_2389,Developer,175,58,6000000
2390,Karyawan_2390,Designer,167,57,8000000
2391,Karyawan_2391,Designer,202,36,8000000
2392,Karyawan_2392,Security,150,20,6000000
2393,Karyawan_2393,Admin,168,23,7000000
2394,Karyawan_2394,Admin,156,46,10000000
2395,Karyawan_2395,Security,159,27,6000000
2396,Karyawan_2396,Developer,166,25,8500000
2397,Karyawan_2397,Developer,183,40,6000000
2398,Karyawan_2398,Designer,152,49,10000000
2399,Karyawan_2399,Marketing,195,40,8500000
2400,Karyawan_2400,Designer,171,23,8000000
2401,Karyawan_2401,Security,153,50,8500000
2402,Karyawan_2402,Developer,187,42,7000000
2403,Karyawan_2403,Security,153,56,8500000
2404,Karyawan_2404,Developer,194,39,7000000
2405,Karyawan_2405,Admin,183,22,8000000
2406,Karyawan_2406,Developer,204,42,8000000
2407,Karyawan_2407,Designer,207,58,10000000
2408,Karyawan_2408,Developer,201,36,7000000
2409,Karyawan_2409,Admin,166,50,6000000
2410,Karyawan_2410,Developer,176,56,8500000
2411,Karyawan_2411,Designer,193,57,8000000
2412,Karyawan_2412,Admin,182,32,8000000
2413,Karyawan_2413,Developer,179,32,8000000
2414,Karyawan_2414,Admin,181,33,6000000
2415,Karyawan_2415,Developer,188,33,8500000
2416,Karyawan_2416,Admin,176,33,8500000
2417,Karyawan_2417,Developer,179,50,6000000
2418,Karyawan_2418,Developer,175,45,8000000
2419,Karyawan_2419,Developer,154,36,10000000
2420,Karyawan_2420,Security,168,35,6000000
2421,Karyawan_2421,Marketing,192,53,10000000
2422,Karyawan_2422,Developer,160,30,8000000
2423,Karyawan_2423,Designer,157,58,8500000
2424,Karyawan_2424,Security,159,20,10000000
2425,Karyawan_2425,Admin,203,23,8000000
2426,Karyawan_2426,Admin,156,38,8500000
2427,Karyawan_2427,Security,154,53,7000000
2428,Karyawan_2428,Designer,155,54,7000000
2429,Karyawan_2429,Marketing,173,35,6000000
2430,Karyawan_2430,Marketing,181,26,6000000
2431,Karyawan_2431,Admin,156,42,10000000
2432,Karyawan_2432,Admin,195,46,7000000
2433,Karyawan_2433,Admin,168,54,8000000
2434,Karyawan_2434,Developer,208,55,10000000
2435,Karyawan_2435,Security,173,56,10000000
2436,Karyawan_2436,Marketing,177,46,6000000
2437,Karyawan_2437,Designer,191,56,8500000
2438,Karyawan_2438,Developer,175,56,8500000
2439,Karyawan_2439,Admin,150,40,8000000
2440,Karyawan_2440,Marketing,208,49,10000000
2441,Karyawan_2441,Admin,199,36,7000000
2442,Karyawan_2442,Marketing,182,25,10000000
2443,Karyawan_2443,Admin,155,46,8500000
2444,Karyawan_2444,Admin,186,49,8000000
2445,Karyawan_2445,Designer,165,31,7000000
2446,Karyawan_2446,Admin,208,35,8500000
2447,Karyawan_2447,Security,206,50,10000000
2448,Karyawan_2448,Marketing,159,29,7000000
2449,Karyawan_2449,Designer,153,45,7000000
2450,Karyawan_2450,Developer,174,45,8500000
2451,Karyawan_2451,Security,165,25,8000000
2452,Karyawan_2452,Security,157,37,8500000
2453,Karyawan_2453,Security,152,27,10000000
2454,Karyawan_2454,Security,150,38,6000000
2455,Karyawan_2455,Security,201,47,8500000
2456,Karyawan_2456,Designer,162,21,10000000
2457,Karyawan_2457,Designer,169,53,6000000
2458,Karyawan_2458,Developer,151,47,7000000
2459,Karyawan_2459,Developer,171,31,7000000
2460,Karyawan_2460,Security,169,30,8500000
2461,Karyawan_2461,Marketing,164,22,8500000
2462,Karyawan_2462,Admin,197,30,8500000
2463,Karyawan_2463,Security,171,55,7000000
2464,Karyawan_2464,Admin,189,28,8000000
2465,Karyawan_2465,Designer,172,29,7000000
2466,Karyawan_2466,Admin,202,20,7000000
2467,Karyawan_2467,Admin,176,43,8000000
2468,Karyawan_2468,Developer,193,52,10000000
2469,Karyawan_2469,Security,187,38,10000000
2470,Karyawan_2470,Security,160,42,10000000
2471,Karyawan_2471,Marketing,156,34,8500000
2472,Karyawan_2472,Admin,205,31,10000000
2473,Karyawan_2473,Security,162,45,8000000
2474,Karyawan_2474,Admin,176,34,8500000
2475,Karyawan_2475,Marketing,188,23,7000000
2476,Karyawan_2476,Security,194,32,10000000
2477,Karyawan_2477,Designer,192,39,10000000
2478,Karyawan_2478,Developer,187,29,6000000
2479,Karyawan_2479,Security,177,37,8500000
2480,Karyawan_2480,Developer,156,49,6000000
2481,Karyawan_2481,Designer,175,33,8500000
2482,Karyawan_2482,Marketing,194,52,10000000
2483,Karyawan_2483,Security,178,46,8500000
2484,Karyawan_2484,Security,199,34,8000000
2485,Karyawan_2485,Marketing,186,27,8000000
2486,Karyawan_2486,Developer,188,50,8000000
2487,Karyawan_2487,Designer,154,35,6000000
2488,Karyawan_2488,Developer,192,51,7000000
2489,Karyawan_2489,Security,207,49,6000000
2490,Karyawan_2490,Designer,169,26,6000000
2491,Karyawan_2491,Designer,179,25,6000000
2492,Karyawan_2492,Security,153,32,7000000
2493,Karyawan_2493,Marketing,175,28,10000000
2494,Karyawan_2494,Marketing,159,54,6000000
2495,Karyawan_2495,Admin,166,55,8000000
2496,Karyawan_2496,Developer,205,59,10000000
2497,Karyawan_2497,Admin,150,53,10000000
2498,Karyawan_2498,Marketing,156,25,7000000
2499,Karyawan_2499,Admin,155,47,6000000
2500,Karyawan_2500,Admin,179,43,8500000
2501,Karyawan_2501,Security,173,43,8500000
2502,Karyawan_2502,Security,168,36,8000000
2503,Karyawan_2503,Developer,194,31,10000000
2504,Karyawan_2504,Admin,202,56,8000000
2505,Karyawan_2505,Admin,168,27,8500000
2506,Karyawan_2506,Admin,150,50,6000000
2507,Karyawan_2507,Security,159,36,6000000
2508,Karyawan_2508,Admin,194,57,6000000
2509,Karyawan_2509,Designer,186,32,7000000
2510,Karyawan_2510,Developer,167,33,10000000
2511,Karyawan_2511,Security,182,30,8000000
2512,Karyawan_2512,Developer,186,33,8500000
2513,Karyawan_2513,Marketing,172,39,6000000
2514,Karyawan_2514,Security,184,27,8500000
2515,Karyawan_2515,Marketing,180,48,10000000
2516,Karyawan_2516,Admin,191,48,6000000
2517,Karyawan_2517,Admin,173,39,6000000
2518,Karyawan_2518,Designer,165,56,10000000
2519,Karyawan_2519,Developer,167,37,8000000
2520,Karyawan_2520,Admin,152,37,10000000
2521,Karyawan_2521,Designer,163,31,6000000
2522,Karyawan_2522,Developer,159,22,6000000
2523,Karyawan_2523,Designer,184,52,7000000
2524,Karyawan_2524,Developer,189,44,7000000
2525,Karyawan_2525,Admin,173,47,6000000
2526,Karyawan_2526,Security,193,57,10000000
2527,Karyawan_2527,Marketing,178,49,10000000
2528,Karyawan_2528,Developer,196,22,7000000
2529,Karyawan_2529,Security,202,51,6000000
2530,Karyawan_2530,Designer,180,40,10000000
2531,Karyawan_2531,Admin,158,41,8000000
2532,Karyawan_2532,Security,166,43,8500000
2533,Karyawan_2533,Marketing,177,42,8500000
2534,Karyawan_2534,Security,173,56,7000000
2535,Karyawan_2535,Security,197,52,8500000
2536,Karyawan_2536,Marketing,175,45,8000000
2537,Karyawan_2537,Security,180,50,7000000
2538,Karyawan_2538,Security,156,44,8500000
2539,Karyawan_2539,Marketing,201,39,7000000
2540,Karyawan_2540,Admin,162,20,6000000
2541,Karyawan_2541,Admin,176,31,10000000
2542,Karyawan_2542,Marketing,159,53,6000000
2543,Karyawan_2543,Marketing,200,55,7000000
2544,Karyawan_2544,Security,178,51,8500000
2545,Karyawan_2545,Admin,180,28,7000000
2546,Karyawan_2546,Security,170,30,8500000
2547,Karyawan_2547,Designer,154,54,6000000
2548,Karyawan_2548,Security,164,57,10000000
2549,Karyawan_2549,Admin,169,21,7000000
2550,Karyawan_2550,Developer,183,41,7000000
2551,Karyawan_2551,Security,202,22,10000000
2552,Karyawan_2552,Security,159,29,8500000
2553,Karyawan_2553,Developer,201,54,7000000
2554,Karyawan_2554,Marketing,183,46,7000000
2555,Karyawan_2555,Admin,192,50,8000000
2556,Karyawan_2556,Security,168,55,8500000
2557,Karyawan_2557,Admin,197,28,8500000
2558,Karyawan_2558,Security,155,37,7000000
2559,Karyawan_2559,Marketing,153,26,7000000
2560,Karyawan_2560,Marketing,195,44,8500000
2561,Karyawan_2561,Designer,178,27,8000000
2562,Karyawan_2562,Security,182,49,8500000
2563,Karyawan_2563,Developer,206,58,7000000
2564,Karyawan_2564,Marketing,193,41,10000000
2565,Karyawan_2565,Developer,158,33,10000000
2566,Karyawan_2566,Admin,152,53,8500000
2567,Karyawan_2567,Admin,184,50,10000000
2568,Karyawan_2568,Admin,168,59,10000000
2569,Karyawan_2569,Security,181,41,8000000
2570,Karyawan_2570,Designer,164,23,10000000
2571,Karyawan_2571,Marketing,194,34,8500000
2572,Karyawan_2572,Admin,189,58,8500000
2573,Karyawan_2573,Admin,180,51,8000000
2574,Karyawan_2574,Admin,194,25,7000000
2575,Karyawan_2575,Developer,171,22,6000000
2576,Karyawan_2576,Marketing,182,32,6000000
2577,Karyawan_2577,Security,183,54,7000000
2578,Karyawan_2578,Developer,169,25,8500000
2579,Karyawan_2579,Designer,185,20,8000000
2580,Karyawan_2580,Security,180,39,8500000
2581,Karyawan_2581,Admin,164,23,8000000
